
epoch 1

total loss:9.06  Triplet_Loss:1.21  CrossEntropy_Loss:6.64 
total loss:9.12  Triplet_Loss:1.22  CrossEntropy_Loss:6.68 
total loss:9.12  Triplet_Loss:1.23  CrossEntropy_Loss:6.66 
total loss:9.08  Triplet_Loss:1.21  CrossEntropy_Loss:6.65 
total loss:9.12  Triplet_Loss:1.23  CrossEntropy_Loss:6.66 
total loss:9.10  Triplet_Loss:1.23  CrossEntropy_Loss:6.63 
total loss:9.09  Triplet_Loss:1.23  CrossEntropy_Loss:6.63 
total loss:9.10  Triplet_Loss:1.22  CrossEntropy_Loss:6.66 
total loss:9.12  Triplet_Loss:1.23  CrossEntropy_Loss:6.67 
total loss:9.12  Triplet_Loss:1.22  CrossEntropy_Loss:6.69 
total loss:9.18  Triplet_Loss:1.23  CrossEntropy_Loss:6.72 
total loss:9.11  Triplet_Loss:1.21  CrossEntropy_Loss:6.69 
total loss:9.13  Triplet_Loss:1.21  CrossEntropy_Loss:6.70 
total loss:9.08  Triplet_Loss:1.21  CrossEntropy_Loss:6.67 
total loss:9.07  Triplet_Loss:1.21  CrossEntropy_Loss:6.65 
total loss:9.17  Triplet_Loss:1.23  CrossEntropy_Loss:6.71 
total loss:9.18  Triplet_Loss:1.22  CrossEntropy_Loss:6.74 
total loss:9.13  Triplet_Loss:1.21  CrossEntropy_Loss:6.71 
total loss:9.10  Triplet_Loss:1.20  CrossEntropy_Loss:6.70 
total loss:9.09  Triplet_Loss:1.21  CrossEntropy_Loss:6.67 
total loss:9.14  Triplet_Loss:1.22  CrossEntropy_Loss:6.70 
total loss:9.12  Triplet_Loss:1.21  CrossEntropy_Loss:6.71 
total loss:9.15  Triplet_Loss:1.22  CrossEntropy_Loss:6.71 
total loss:9.18  Triplet_Loss:1.23  CrossEntropy_Loss:6.73 
total loss:9.18  Triplet_Loss:1.23  CrossEntropy_Loss:6.72 
epoch 8

total loss:9.11  Triplet_Loss:1.25  CrossEntropy_Loss:6.61 
total loss:9.06  Triplet_Loss:1.22  CrossEntropy_Loss:6.62 
total loss:8.99  Triplet_Loss:1.20  CrossEntropy_Loss:6.58 
total loss:9.06  Triplet_Loss:1.21  CrossEntropy_Loss:6.64 
total loss:9.07  Triplet_Loss:1.21  CrossEntropy_Loss:6.64 
total loss:9.11  Triplet_Loss:1.23  CrossEntropy_Loss:6.65 
total loss:9.07  Triplet_Loss:1.22  CrossEntropy_Loss:6.64 
total loss:9.02  Triplet_Loss:1.21  CrossEntropy_Loss:6.59 
total loss:9.06  Triplet_Loss:1.22  CrossEntropy_Loss:6.63 
total loss:9.04  Triplet_Loss:1.22  CrossEntropy_Loss:6.60 
total loss:9.11  Triplet_Loss:1.23  CrossEntropy_Loss:6.64 
total loss:9.13  Triplet_Loss:1.22  CrossEntropy_Loss:6.68 
total loss:9.05  Triplet_Loss:1.21  CrossEntropy_Loss:6.63 
total loss:9.08  Triplet_Loss:1.23  CrossEntropy_Loss:6.63 
total loss:9.08  Triplet_Loss:1.22  CrossEntropy_Loss:6.63 
total loss:9.04  Triplet_Loss:1.18  CrossEntropy_Loss:6.68 
total loss:9.10  Triplet_Loss:1.24  CrossEntropy_Loss:6.62 
total loss:9.06  Triplet_Loss:1.20  CrossEntropy_Loss:6.66 
total loss:9.09  Triplet_Loss:1.24  CrossEntropy_Loss:6.61 
total loss:9.07  Triplet_Loss:1.22  CrossEntropy_Loss:6.62 
total loss:9.07  Triplet_Loss:1.21  CrossEntropy_Loss:6.65 
total loss:9.12  Triplet_Loss:1.21  CrossEntropy_Loss:6.69 
total loss:9.10  Triplet_Loss:1.23  CrossEntropy_Loss:6.63 
total loss:9.13  Triplet_Loss:1.22  CrossEntropy_Loss:6.68 
total loss:9.13  Triplet_Loss:1.22  CrossEntropy_Loss:6.68 
total loss:9.08  Triplet_Loss:1.22  CrossEntropy_Loss:6.64 
total loss:9.09  Triplet_Loss:1.21  CrossEntropy_Loss:6.67 
total loss:9.11  Triplet_Loss:1.22  CrossEntropy_Loss:6.67 
total loss:9.08  Triplet_Loss:1.21  CrossEntropy_Loss:6.67 
total loss:9.07  Triplet_Loss:1.22  CrossEntropy_Loss:6.63 
total loss:9.09  Triplet_Loss:1.23  CrossEntropy_Loss:6.63 
total loss:9.13  Triplet_Loss:1.22  CrossEntropy_Loss:6.70 
total loss:9.16  Triplet_Loss:1.24  CrossEntropy_Loss:6.68 
total loss:9.11  Triplet_Loss:1.21  CrossEntropy_Loss:6.69 
total loss:9.10  Triplet_Loss:1.23  CrossEntropy_Loss:6.65 
total loss:9.11  Triplet_Loss:1.21  CrossEntropy_Loss:6.68 
total loss:9.10  Triplet_Loss:1.20  CrossEntropy_Loss:6.70 
total loss:9.11  Triplet_Loss:1.22  CrossEntropy_Loss:6.68 
total loss:9.14  Triplet_Loss:1.23  CrossEntropy_Loss:6.69 
total loss:9.10  Triplet_Loss:1.21  CrossEntropy_Loss:6.69 
total loss:9.14  Triplet_Loss:1.22  CrossEntropy_Loss:6.70 
total loss:9.12  Triplet_Loss:1.22  CrossEntropy_Loss:6.68 
